(n, d, k);[Gematria of ELS];Gematria WordTotal of ELS;ELS Search Term;Found in WordNumber In Text;WordCoordinatesDWTK;Found in Word In Text;LetterPositionIndex In Word;LetterCoordinatesD5K of First Letter in ELS;Found In Verse
(112821, 4, 4);[100, 200, 10, 100];410;קירק;29867;(2, 24, 7, 1, 29867);ויקח;3;(2, 24, 7, 3, 112821);ויקח ספר הברית ויקרא באזני העם ויאמרו כל אשר דבר יהוה נעשה ונשמע
(282257, 10, 4);[100, 200, 10, 100];410;קירק;74075;(5, 20, 15, 5, 74075);הרחקת;4;(5, 20, 15, 18, 282257);כן תעשה לכל הערים הרחקת ממך מאד אשר לא מערי הגוים האלה הנה
(129453, 16, 4);[100, 200, 10, 100];410;קירק;34172;(2, 34, 8, 3, 34172);ויקד;3;(2, 34, 8, 11, 129453);וימהר משה ויקד ארצה וישתחו
(113778, 18, 4);[100, 200, 10, 100];410;קירק;30113;(2, 25, 10, 13, 30113);קמתו;1;(2, 25, 10, 49, 113778);ועשו ארון עצי שטים אמתים וחצי ארכו ואמה וחצי רחבו ואמה וחצי קמתו
(196648, 19, 4);[100, 200, 10, 100];410;קירק;51848;(4, 5, 26, 1, 51848);וקמץ;2;(4, 5, 26, 2, 196648);וקמץ הכהן מן המנחה את אזכרתה והקטיר המזבחה ואחר ישקה את האשה את המים
(16314, 21, 4);[100, 200, 10, 100];410;קירק;4374;(1, 14, 5, 20, 4374);קריתים;1;(1, 14, 5, 83, 16314);ובארבע עשרה שנה בא כדרלעמר והמלכים אשר אתו ויכו את רפאים בעשתרת קרנים ואת הזוזים בהם ואת האימים בשוה קריתים
(20764, 24, 4);[100, 200, 10, 100];410;קירק;5553;(1, 18, 6, 10, 5553);קמח;1;(1, 18, 6, 37, 20764);וימהר אברהם האהלה אל שרה ויאמר מהרי שלש סאים קמח סלת לושי ועשי עגות
(215663, 26, 4);[100, 200, 10, 100];410;קירק;56846;(4, 16, 7, 16, 56846);הקדוש;2;(4, 16, 7, 58, 215663);ותנו בהן אש ושימו עליהן קטרת לפני יהוה מחר והיה האיש אשר יבחר יהוה הוא הקדוש רב לכם בני לוי
(42259, 27, 4);[100, 200, 10, 100];410;קירק;11266;(1, 30, 17, 7, 11266);ליעקב;4;(1, 30, 17, 27, 42259);וישמע אלהים אל לאה ותהר ותלד ליעקב בן חמישי
(20764, 29, 4);[100, 200, 10, 100];410;קירק;5553;(1, 18, 6, 10, 5553);קמח;1;(1, 18, 6, 37, 20764);וימהר אברהם האהלה אל שרה ויאמר מהרי שלש סאים קמח סלת לושי ועשי עגות
(37865, 29, 4);[100, 200, 10, 100];410;קירק;10063;(1, 27, 34, 6, 10063);ויצעק;5;(1, 27, 34, 22, 37865);כשמע עשו את דברי אביו ויצעק צעקה גדלה ומרה עד מאד ויאמר לאביו ברכני גם אני אבי
(38237, 31, 4);[100, 200, 10, 100];410;קירק;10162;(1, 27, 40, 10, 10162);ופרקת;4;(1, 27, 40, 38, 38237);ועל חרבך תחיה ואת אחיך תעבד והיה כאשר תריד ופרקת עלו מעל צוארך
(131669, 31, 4);[100, 200, 10, 100];410;קירק;34770;(2, 35, 17, 2, 34770);קלעי;1;(2, 35, 17, 3, 131669);את קלעי החצר את עמדיו ואת אדניה ואת מסך שער החצר
(184379, 32, 4);[100, 200, 10, 100];410;קירק;48741;(3, 26, 42, 8, 48741);יצחק;4;(3, 26, 42, 32, 184379);וזכרתי את בריתי יעקוב ואף את בריתי יצחק ואף את בריתי אברהם אזכר והארץ אזכר
(151251, 34, 4);[100, 200, 10, 100];410;קירק;39900;(3, 8, 10, 1, 39900);ויקח;3;(3, 8, 10, 3, 151251);ויקח משה את שמן המשחה וימשח את המשכן ואת כל אשר בו ויקדש אתם
(281203, 38, 4);[100, 200, 10, 100];410;קירק;73796;(5, 19, 16, 2, 73796);יקום;2;(5, 19, 16, 4, 281203);כי יקום עד חמס באיש לענות בו סרה
(173631, 42, 4);[100, 200, 10, 100];410;קירק;45953;(3, 21, 5, 2, 45953);יקרחה;2;(3, 21, 5, 4, 173631);לא יקרחה קרחה בראשם ופאת זקנם לא יגלחו ובבשרם לא ישרטו שרטת
(178923, 43, 4);[100, 200, 10, 100];410;קירק;47345;(3, 24, 9, 6, 47345);קדש;1;(3, 24, 9, 28, 178923);והיתה לאהרן ולבניו ואכלהו במקום קדש כי קדש קדשים הוא לו מאשי יהוה חק עולם
(225811, 46, 4);[100, 200, 10, 100];410;קירק;59543;(4, 22, 10, 5, 59543);בלק;3;(4, 22, 10, 20, 225811);ויאמר בלעם אל האלהים בלק בן צפר מלך מואב שלח אלי
(271881, 46, 4);[100, 200, 10, 100];410;קירק;71309;(5, 12, 21, 4, 71309);המקום;3;(5, 12, 21, 12, 271881);כי ירחק ממך המקום אשר יבחר יהוה אלהיך לשום שמו שם וזבחת מבקרך ומצאנך אשר נתן יהוה לך כאשר צויתך ואכלת בשעריך בכל אות נפשך
(48034, 48, 4);[100, 200, 10, 100];410;קירק;12795;(1, 32, 31, 2, 12795);יעקב;3;(1, 32, 31, 8, 48034);ויקרא יעקב שם המקום פניאל כי ראיתי אלהים פנים אל פנים ותנצל נפשי
(151843, 48, 4);[100, 200, 10, 100];410;קירק;40062;(3, 8, 21, 2, 40062);הקרב;2;(3, 8, 21, 5, 151843);ואת הקרב ואת הכרעים רחץ במים ויקטר משה את כל האיל המזבחה עלה הוא לריח ניחח אשה הוא ליהוה כאשר צוה יהוה את משה
(51920, 49, 4);[100, 200, 10, 100];410;קירק;13835;(1, 35, 22, 17, 13835);יעקב;3;(1, 35, 22, 71, 51920);ויהי בשכן ישראל בארץ ההוא וילך ראובן וישכב את בלהה פילגש אביו וישמע ישראל ויהיו בני יעקב שנים עשר
(170558, 49, 4);[100, 200, 10, 100];410;קירק;45124;(3, 19, 9, 1, 45124);ובקצרכם;3;(3, 19, 9, 3, 170558);ובקצרכם את קציר ארצכם לא תכלה פאת שדך לקצר ולקט קצירך לא תלקט
(234725, 49, 4);[100, 200, 10, 100];410;קירק;61837;(4, 27, 14, 14, 61837);קדש;1;(4, 27, 14, 57, 234725);כאשר מריתם פי במדבר צן במריבת העדה להקדישני במים לעיניהם הם מי מריבת קדש מדבר צן
(25780, 51, 4);[100, 200, 10, 100];410;קירק;6874;(1, 21, 10, 17, 6874);יצחק;4;(1, 21, 10, 57, 25780);ותאמר לאברהם גרש האמה הזאת ואת בנה כי לא יירש בן האמה הזאת עם בני עם יצחק
(50414, 53, 4);[100, 200, 10, 100];410;קירק;13435;(1, 34, 25, 6, 13435);ויקחו;3;(1, 34, 25, 28, 50414);ויהי ביום השלישי בהיותם כאבים ויקחו שני בני יעקב שמעון ולוי אחי דינה איש חרבו ויבאו על העיר בטח ויהרגו כל זכר
(58329, 53, 4);[100, 200, 10, 100];410;קירק;15505;(1, 39, 14, 12, 15505);לצחק;4;(1, 39, 14, 47, 58329);ותקרא לאנשי ביתה ותאמר להם לאמר ראו הביא לנו איש עברי לצחק בנו בא אלי לשכב עמי ואקרא בקול גדול
(281852, 53, 4);[100, 200, 10, 100];410;קירק;73966;(5, 20, 7, 7, 73966);לקחה;2;(5, 20, 7, 21, 281852);ומי האיש אשר ארש אשה ולא לקחה ילך וישב לביתו פן ימות במלחמה ואיש אחר יקחנה
(62983, 59, 4);[100, 200, 10, 100];410;קירק;16725;(1, 41, 57, 9, 16725);חזק;3;(1, 41, 57, 31, 62983);וכל הארץ באו מצרימה לשבר אל יוסף כי חזק הרעב בכל הארץ
(184816, 66, 4);[100, 200, 10, 100];410;קירק;48852;(3, 27, 3, 17, 48852);הקדש;2;(3, 27, 3, 60, 184816);והיה ערכך הזכר מבן עשרים שנה ועד בן ששים שנה והיה ערכך חמשים שקל כסף בשקל הקדש
(216313, 67, 4);[100, 200, 10, 100];410;קירק;57016;(4, 16, 19, 3, 57016);קרח;1;(4, 16, 19, 11, 216313);ויקהל עליהם קרח את כל העדה אל פתח אהל מועד וירא כבוד יהוה אל כל העדה
